中文名,adcode,citycode,adcode_first,adcode_second,adcode_third
中华人民共和国,100000,,10,00,00
北京市,110000,010,11,00,00
北京市市辖区,110100,010,11,01,00
东城区,110101,010,11,01,01
西城区,110102,010,11,01,02
朝阳区,110105,010,11,01,05
丰台区,110106,010,11,01,06
石景山区,110107,010,11,01,07
海淀区,110108,010,11,01,08
门头沟区,110109,010,11,01,09
房山区,110111,010,11,01,11
通州区,110112,010,11,01,12
顺义区,110113,010,11,01,13
昌平区,110114,010,11,01,14
大兴区,110115,010,11,01,15
怀柔区,110116,010,11,01,16
平谷区,110117,010,11,01,17
密云区,110118,010,11,01,18
延庆区,110119,010,11,01,19
天津市,120000,022,12,00,00
天津市市辖区,120100,022,12,01,00
和平区,120101,022,12,01,01
河东区,120102,022,12,01,02
河西区,120103,022,12,01,03
南开区,120104,022,12,01,04
河北区,120105,022,12,01,05
红桥区,120106,022,12,01,06
东丽区,120110,022,12,01,10
西青区,120111,022,12,01,11
津南区,120112,022,12,01,12
北辰区,120113,022,12,01,13
武清区,120114,022,12,01,14
宝坻区,120115,022,12,01,15
滨海新区,120116,022,12,01,16
宁河区,120117,022,12,01,17
静海区,120118,022,12,01,18
蓟州区,120119,022,12,01,19
河北省,130000,,13,00,00
石家庄市,130100,0311,13,01,00
石家庄市市辖区,130101,0311,13,01,01
长安区,130102,0311,13,01,02
桥西区,130104,0311,13,01,04
新华区,130105,0311,13,01,05
井陉矿区,130107,0311,13,01,07
裕华区,130108,0311,13,01,08
藁城区,130109,0311,13,01,09
鹿泉区,130110,0311,13,01,10
栾城区,130111,0311,13,01,11
井陉县,130121,0311,13,01,21
正定县,130123,0311,13,01,23
行唐县,130125,0311,13,01,25
灵寿县,130126,0311,13,01,26
高邑县,130127,0311,13,01,27
深泽县,130128,0311,13,01,28
赞皇县,130129,0311,13,01,29
无极县,130130,0311,13,01,30
平山县,130131,0311,13,01,31
元氏县,130132,0311,13,01,32
赵县,130133,0311,13,01,33
辛集市,130181,0311,13,01,81
晋州市,130183,0311,13,01,83
新乐市,130184,0311,13,01,84
唐山市,130200,0315,13,02,00
唐山市市辖区,130201,0315,13,02,01
路南区,130202,0315,13,02,02
路北区,130203,0315,13,02,03
古冶区,130204,0315,13,02,04
开平区,130205,0315,13,02,05
丰南区,130207,0315,13,02,07
